Producto,Codigo_Insumo,Cantidad_receta,Unidad_receta
Muffin de chocolate (sin relleno),HAR-001,300,g
Muffin de chocolate (sin relleno),AZU-001,220,g
Muffin de chocolate (sin relleno),CAC-001,60,g
Muffin de chocolate (sin relleno),HUE-001,3,u
Muffin de chocolate (sin relleno),LEC-001,250,ml
Muffin de chocolate (sin relleno),ACE-001,120,ml
Muffin de chocolate (sin relleno),POL-001,10,g
Muffin de chocolate (sin relleno),BIC-001,3,g
Muffin de chocolate (sin relleno),SAL-001,2,g
Muffin de chocolate (sin relleno),ESS-001,5,ml
Muffin de chocolate (sin relleno),EMB-003,12,u
Muffin de vainilla (sin relleno),HAR-001,320,g
Muffin de vainilla (sin relleno),AZU-001,240,g
Muffin de vainilla (sin relleno),HUE-001,3,u
Muffin de vainilla (sin relleno),LEC-001,260,ml
Muffin de vainilla (sin relleno),ACE-001,120,ml
Muffin de vainilla (sin relleno),POL-001,12,g
Muffin de vainilla (sin relleno),SAL-001,2,g
Muffin de vainilla (sin relleno),ESS-001,8,ml
Muffin de vainilla (sin relleno),EMB-003,12,u